rosap_name,ror_id,ror_name
United States. Department of Transportation. Office of the Secretary,https://ror.org/02xfw2e90,United States Department of Transportation: Office of the Secretary
United States. Department of Transportation. National Highway Traffic Safety Administration. National Center for Statistics and Analysis. Data Reporting and Information Division,https://ror.org/04gcfqs37,National Highway Traffic Safety Administration: National Center for Statistics and Analysis
Montana State University. Center for Health and Safety Culture,https://ror.org/02w0trx84,Montana State University: Center for Health and Safety Culture
United States. Department of Transportation. Federal Aviation Administration. Compliance and Airworthiness Division,https://ror.org/05q0y0j38,Federal Aviation Administration: Compliance and Airworthiness Division
"United States. Department of Transportation. Federal Highway Administration. Offices of Research, Development, and Technology",https://ror.org/0473rr271,"Federal Highway Administration: Offices of Research, Development, and Technology"
Montana Department of Transportation,https://ror.org/00ys2za03,Montana Department of Transportation
California Department of Transportation,https://ror.org/04d46jp54,California Department of Transportation
Connecticut. Department of Transportation,https://ror.org/01r9n3w70,Connecticut Department of Transportation
Georgia Department of Transportation,https://ror.org/00ktzqz45,Georgia Department of Transportation
Illinois. Department of Transportation,https://ror.org/02vgzrk89,Illinois Department of Transportation
Indiana Department of Transportation,https://ror.org/025j46253,Indiana Department of Transportation
Iowa. Department of Transportation,https://ror.org/05t0v7d07,Iowa Department of Transportation
Michigan Department of Transportation,https://ror.org/01kae7563,Michigan Department of Transportation
Texas Dept. of Transportation,https://ror.org/02ky21x08,Texas Department of Transportation
Utah Department of Transportation,https://ror.org/022hhqs29,Utah Department of Transportation
Montana. Department of Transportation,https://ror.org/00ys2za03,Montana Department of Transportation
United States. Department of Transportation. Federal Aviation Administration. William J. Hughes Technical Center,https://ror.org/05q0y0j38,Federal Aviation Administration: William J. Hughes Technical Center
United States. Department of Commerce,https://ror.org/04chq2495,United States Department of Commerce
United States. Congress. Senate. Committee on Commerce,https://ror.org/00k1mwv09,United States Congress: Committee on Commerce
United States. Congress. Senate. Committee on Commerce.,https://ror.org/00k1mwv09,United States Congress: Committee on Commerce
United States. Congress. House.  Committee on Public Works. Subcommittee on Roads,https://ror.org/00k1mwv09,United States Congress: Committee on Public Works Subcommittee on Roads
Department of Transportation. Office of the Secretary,https://ror.org/02xfw2e90,United States Department of Transportation: Office of the Secretary
Department of Transportation. Federal Highway Administration.,https://ror.org/0473rr271,Federal Highway Administration
Muhlenberg College,https://ror.org/03cqsth74,Muhlenberg College
United States. Congress. Senate. Committee on Appropriations. Subcommittee on Transportation,https://ror.org/00k1mwv09,United States Congress: Committee on Appropriations Subcommittee on Transportation
"Parks College of Aeronautical Technology of Saint Louis University (Cahokia, Ill.)",https://ror.org/01p7jjy08,"Saint Louis University: Parks College of Engineering, Aviation and Technology"
American Trucking Associations,https://ror.org/05tgbdb80,American Trucking Associations
Florida State Chamber of Commerce,https://ror.org/05fbj2448,Florida Chamber of Commerce
American Petroleum Institute,https://ror.org/01zvdsy94,American Petroleum Institute
United States. National Highway Safety Advisory Committee,https://ror.org/04gcfqs37,National Highway Traffic Safety Administration: National Highway Safety Advisory Committee
United States. National Highway Safety Bureau,https://ror.org/04gcfqs37,National Highway Traffic Safety Administration
United States. Congress. Senate. Committee on Banking and Currency. Subcommittee on Housing and Urban Affairs,https://ror.org/00k1mwv09,United States Congress: Committee on Banking and Currency Subcommittee on Housing and Urban Affairs
United States. Congress. House. Committee on Public Works. Special Subcommittee on the Federal-Aid Highway Program,https://ror.org/00k1mwv09,United States Congress: Committee on Public Works Special Subcommittee on the Federal-Aid Highway Program
United States. Congress. Senate. Committee on Commerce. Consumer Subcommittee,https://ror.org/00k1mwv09,United States Congress: Committee on Commerce Consumer Subcommittee
Alfred P. Sloan Foundation,https://ror.org/052csg198,Alfred P. Sloan Foundation
Texas A&M University,https://ror.org/01f5ytq51,Texas A&M University
Society of Naval Architects and Marine Engineers (U.S.),https://ror.org/01t20fb17,Society of Naval Architects and Marine Engineers
United States. Congress. Senate. Committee on Public Works.,https://ror.org/00k1mwv09,United States Congress: Committee on Public Works
United States. Congress. House. Committee on Public Works,https://ror.org/00k1mwv09,United States Congress: Committee on Public Works
United States. Congress. Senate. Committee on Public Works. Subcommittee on Roads,https://ror.org/00k1mwv09,United States Congress: Committee on Public Works Subcommittee on Roads
United States. Congress. House. Committee on Post Office and Civil Service. Subcommittee on Manpower,https://ror.org/00k1mwv09,United States Congress: Committee on Post Office and Civil Service Subcommittee on Manpower
United States. Congress. Senate. Committee on Public Works. Subcommittee on Air and Water Pollution,https://ror.org/00k1mwv09,United States Congress: Committee on Public Works Subcommittee on Air and Water Pollution
Society of Automotive Engineers,https://ror.org/01s4hex50,Society of Automotive Engineers International
United States. Congress. House. Committee on Merchant Marine and Fisheries,https://ror.org/00k1mwv09,United States Congress: Committee on Merchant Marine and Fisheries
United States. Congress. Senate. Committee on Interstate and Foreign Commerce,https://ror.org/00k1mwv09,United States Congress: Committee on Interstate and Foreign Commerce
United States. Congress. House. Committee on Science and Astronautics. Subcommittee on Advanced Research and Technology,https://ror.org/00k1mwv09,United States Congress: Committee on Science and Astronautics Subcommittee on Advanced Research and Technology
United States. Congress. Senate. Committee on Commerce. Subcommittee on Merchant Marine and Fisheries,https://ror.org/00k1mwv09,United States Congress: Committee on Commerce Subcommittee on Merchant Marine and Fisheries
National League of Cities,https://ror.org/038h9a412,National League of Cities
United States. Congress. House. Committee on Interstate and Foreign Commerce. Subcommittee on Transportation and Aeronautics,https://ror.org/00k1mwv09,United States Congress: Committee on Interstate and Foreign Commerce Subcommittee on Transportation and Aeronautics
United States. Congress. House. Committee on Appropriations. Subcommittee on Transportation,https://ror.org/00k1mwv09,United States Congress: Committee on Appropriations Subcommittee on Transportation
American Bar Association,https://ror.org/0158f8t80,American Bar Association
United States. Department of Commerce. Office of the Secretary,https://ror.org/03dmtvy82,Department of Commerce: Office of the Secretary
Department of Transportation. Urban Mass Transportation Administration,https://ror.org/02xfw2e90,United States Department of Transportation: Urban Mass Transportation Administration
"Society of Professional Journalists, Sigma Delta Chi. Washington Chapter",https://ror.org/0442m3a92,Society of Professional Journalists
United States Coast Guard Academy,https://ror.org/01y922f71,United States Coast Guard Academy
United States. Coast Guard,https://ror.org/00zyc7969,United States Coast Guard
United States. Bureau of Public Roads,https://ror.org/03dmtvy82,Department of Commerce: Bureau of Public Roads
United States. Department of Transportation. Office of Public Information,https://ror.org/02xfw2e90,United States Department of Transportation: Office of Public Information
American Society for Public Administration. National Capital Area Chapter,https://ror.org/03jjkbg74,American Society for Public Administration
United States. Congress. House. Committee on Appropriations,https://ror.org/00k1mwv09,United States Congress: Committee on Appropriations
American Society for Public Administration,https://ror.org/03jjkbg74,American Society for Public Administration
United States. Congress. Senate. Committee on Aeronautical and Space Sciences,https://ror.org/00k1mwv09,United States Congress: Committee on Aeronautical and Space Sciences
United States. Congress. Senate. Committee on Post Office and Civil Service,https://ror.org/00k1mwv09,United States Congress: Committee on Post Office and Civil Service
Association of American Railroads. Data Systems Division,https://ror.org/01psax922,Association of American Railroads: Data Systems Division
"United States. Department of Health, Education, and Welfare",https://ror.org/05p26gw61,Department of Health and Human Services
"U.S. Government Publishing Office, Washington, D.C.",https://ror.org/04jgrhh38,United States Government Publishing Office
